,call,put,strike,Share,symbol,trade date,exercise date,LIBOR Rate,volatility,t,d,t_round,call_min,call_mean,call_max,vol_min,vol_mean,vol_max
20,26.208,26.213,155,160.41000366210938,JNJ,2022-10-11,2022-11-18,0.023001,0.1085,0.15079365079365079,5.951675165200612,0.0,3.200752352078041,3.896612844981458,4.899945723390189,0.1348055576349122,0.1640705532681432,0.20627539852563234
21,21.141,21.793,155,155.92999267578125,JNJ,2021-11-30,2023-01-20,0.032963,0.13699999999999998,1.6507936507936507,9.790963404326845,1.0,12.315010195063877,16.0583732657392,20.435510140543116,0.17024327735364483,0.22080252439866413,0.2801884255908737
22,23.952,22.527,155,153.07000732421875,JNJ,2021-03-04,2023-01-20,0.032972,0.1685,2.7261904761904763,9.969800126843268,2.0,16.250513170089093,20.781564322512484,27.70167649831445,0.1678066865201982,0.2170305342058758,0.2928640962171415
23,22.519,22.426,155,137.19000244140625,JNJ,2020-10-29,2023-01-20,0.032972,0.1002,3.2261904761904763,-2.261694748539867,3.0,15.512663770391065,19.333499811807858,25.37250615318935,0.15703986578563375,0.19598892380184202,0.2580188170814753
24,24.518,24.65,160,160.41000366210938,JNJ,2022-10-11,2022-11-18,0.023001,0.071,0.15079365079365079,1.0959871491713216,0.0,3.1255803280179606,3.9567556243201905,4.718861802925019,0.13015308208962337,0.164033441914195,0.19510293585696442
25,11.85,21.322,160,155.92999267578125,JNJ,2021-11-30,2023-01-20,0.032963,0.21215,1.6507936507936507,13.875768911699282,1.0,8.119787848468285,12.121895408456394,16.235276025451377,0.16498685520994733,0.22085599287025787,0.27778130336750073
26,14.05,22.224,160,153.07000732421875,JNJ,2021-03-04,2023-01-20,0.032972,0.22673,2.7261904761904763,14.998632152734388,2.0,11.94588022050418,16.2018382190082,21.52330287440357,0.1698217876586255,0.21692901943056392,0.2758961232515461
27,8.6,22.189,160,137.19000244140625,JNJ,2020-10-29,2023-01-20,0.032972,0.22448,3.2261904761904763,6.924863406623189,3.0,9.576593769334806,12.90920790277305,17.56272795803759,0.15929973844769385,0.19566587356808918,0.24594819711974045
28,23.05,23.242,165,160.41000366210938,JNJ,2022-10-11,2022-11-18,0.023001,0.042199999999999994,0.15079365079365079,-3.826700866858033,0.0,3.299021679734807,4.054207542510796,4.934082965614053,0.13425711227794543,0.16411567704924154,0.1989083076318543
29,9.49,20.752,165,155.92999267578125,JNJ,2021-11-30,2023-01-20,0.032963,0.20831,1.6507936507936507,10.930574419071718,1.0,8.236768757147686,11.78477551108845,16.463385389457905,0.17161452552276193,0.22039060553040896,0.2839477325797009
30,12.7,22.309,165,153.07000732421875,JNJ,2021-03-04,2023-01-20,0.032972,0.22852,2.7261904761904763,11.86346417862552,2.0,11.425013004433076,16.096334656758543,21.653279606434587,0.16607379224227253,0.2166949039354647,0.27685593996713026
31,8.0,22.653,165,138.36000061035156,JNJ,2020-10-28,2023-01-20,0.032972,0.22191,3.2301587301587302,4.6828287084988744,3.0,9.260401137329438,12.998053233587148,18.717515502879742,0.15543526197276453,0.1953002326877418,0.2555083109569688
32,21.717,22.055,170,160.41000366210938,JNJ,2022-10-11,2022-11-18,0.023001,0.0209,0.15079365079365079,-8.663388882887318,0.0,3.1211198098036874,4.106869765151525,4.980684016377836,0.12626460013433963,0.16412460286448496,0.19768458341445388
33,7.76,20.478,170,155.92999267578125,JNJ,2021-11-30,2023-01-20,0.032963,0.20822,1.6507936507936507,7.65137992644415,1.0,7.896615653778788,11.687530490498032,16.01560575442663,0.1696491408305887,0.22092777812213438,0.27857039929323085
34,10.92,21.699,170,153.07000732421875,JNJ,2021-03-04,2023-01-20,0.032972,0.22974,2.7261904761904763,8.463296204516666,2.0,11.80099798410734,16.168274874400915,21.534228117699676,0.1706206077624732,0.21687082514611286,0.273574179106445
35,6.3,21.535,170,137.19000244140625,JNJ,2020-10-29,2023-01-20,0.032972,0.22300999999999999,3.2261904761904763,-0.4200202830507749,3.0,9.599350669366167,13.3527538372561,19.918950435063493,0.15670737106856672,0.1956258061229444,0.2628009101559671
36,0.91,20.82,175,160.41000366210938,JNJ,2022-10-11,2022-11-18,0.023001,0.20902,0.15079365079365079,5.925923101083356,0.0,0.031110505161204394,0.11526374387910181,0.2708386774849316,0.13626314744382656,0.16432346905816084,0.1937073304389584
37,20.125,20.39,175,155.92999267578125,JNJ,2021-11-30,2023-01-20,0.032963,0.06,1.6507936507936507,-9.536814566183438,1.0,13.861250424813505,18.38766613733366,24.01530972482867,0.16672072328981705,0.22077489221328495,0.2883284113349773
38,23.384,22.233,175,153.07000732421875,JNJ,2021-03-04,2023-01-20,0.032972,0.09949999999999999,2.7261904761904763,-8.036871769592267,2.0,17.71010894971846,23.150202142832676,30.398054643810937,0.16417536996177626,0.21656879225948983,0.2869671974261597
39,21.315,21.215,175,144.32000732421875,JNJ,2020-10-19,2023-01-20,0.032972,0.07,3.265873015873016,-12.914725603554814,3.0,16.61631154432581,21.797428577979552,28.182077982107174,0.14828083086011462,0.19481033734684902,0.2525948190196503
