,Unnamed: 0,call,put,strike,Share,symbol,trade date,exercise date,LIBOR Rate,volatility,t,d,t_round,call_min,call_mean,call_max,vol_min,vol_mean,vol_max,new_libor,vg_implied_sigma,vg_implied_nu,vg_predicted_call,vg_call_min,vg_cal_mean,vg_call_max,vg_hist_sigma,vg_hist_nu
13,13,16.65,28.598,145,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.28521,1.873015873015873,14.771870826151345,1.0,15.42868890240134,20.0808143184012,24.5230692689552,0.2975748311491768,0.3665457496485599,0.4326926574056451,0.0470083238095238,0.2969809534659618,0.1562264547853419,16.6499999999169,16.1100551231905,18.9151197673715,22.420712826216,0.34194324829277023,0.0028191566218096044
14,14,12.85,33.729,145,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.34391,2.7103174603174605,4.634747083236903,2.0,13.886173033695115,17.901925538945267,21.78459263126012,0.2900431786768963,0.3452585113436153,0.3985169407198198,0.0450377777777778,0.25804903282615427,0.35006497332975045,12.85,15.1421722312719,18.7379148383049,21.9171680473504,0.34184782955662646,0.0029886506076363777
15,15,14.05,37.453,145,107.12000274658205,AAPL,2020-09-24,2023-01-20,0.032972,0.39137,3.365079365079365,0.750836497871262,3.0,11.830395047428318,15.456249028064224,19.69760966703234,0.2543991677628623,0.3017356264936614,0.3566200484571162,0.0438420634920635,0.2653653233814442,0.3636864264987247,14.0500000000004,15.9753971556352,18.9857120544201,23.0238670798525,0.32744784694993523,0.0032772000152397097
16,16,5.4,23.65,150,130.05999755859375,AAPL,2022-06-17,2022-11-18,0.023001,0.33125,0.6111111111111112,0.403673557666508,0.0,3.555887063234618,6.204121528245815,9.491145383420928,0.2375202656768198,0.3125412374917367,0.3995060555248194,0.0459665444444444,0.2797955781827149,0.34482538660109385,5.40000000004695,6.58706612923125,8.07730351717817,9.43337146952011,0.34250394003010237,0.0025660843746871764
17,17,14.5,22.8,150,139.13999938964844,AAPL,2021-10-05,2023-01-20,0.032972,0.28314,1.873015873015873,6.423314668789374,1.0,18.095644223371742,22.978531606076995,28.42129367745768,0.2987493202133118,0.3668553704260933,0.4434244474320508,0.0470083238095238,0.2296245217442366,0.17119455072350304,14.4999999999995,18.6263518902429,21.653323352222,25.5034296431312,0.34194324829277023,0.0028191566218096044
18,18,11.55,43.6,150,116.36000061035156,AAPL,2021-03-08,2023-01-20,0.032972,0.3457099999999999,2.7103174603174605,11.233186616784678,2.0,9.509216033941062,13.738610290395144,17.351207727133126,0.2814806072507299,0.3453326337435079,0.3985244955316963,0.0450377777777778,0.2950702750195293,0.18017534476248165,11.5500000000002,11.3250603585716,14.6668399348639,17.7225099745718,0.34184782955662646,0.0029886506076363777
19,19,13.33,53.0,150,107.12000274658205,AAPL,2020-09-24,2023-01-20,0.032972,0.38835,3.365079365079365,12.542934213432943,3.0,6.820668587695703,9.615286748943978,13.07381558470459,0.2570032414993762,0.301617437083957,0.3541866880385399,0.0438420634920635,0.33958864169114455,0.20911143118237144,13.33,9.8187757194327,12.6905673591573,16.5014245273074,0.32744784694993523,0.0032772000152397097
20,20,26.208,26.213,155,160.41000366210938,JNJ,2022-10-11,2022-11-18,0.023001,0.1085,0.1507936507936507,5.951675165200612,0.0,3.200752352078041,3.896612844981458,4.899945723390189,0.1348055576349122,0.1640705532681432,0.2062753985256323,0.0358646,0.9962000882619672,0.002981318840145515,23.8964617798289,4.30658425016665,5.06466145450403,5.74115777484258,0.20549459574776469,0.0024094945584625872
21,21,21.141,21.793,155,155.92999267578125,JNJ,2021-11-30,2023-01-20,0.032963,0.1369999999999999,1.6507936507936507,9.790963404326844,1.0,12.315010195063875,16.0583732657392,20.43551014054312,0.1702432773536448,0.2208025243986641,0.2801884255908737,0.0480203904761905,0.26874628429079905,0.16250082571315583,21.1409999999026,14.3779758430989,16.4056075280244,20.4277901742981,0.2103944051739549,0.0027568131131775636
22,22,23.952,22.527,155,153.07000732421875,JNJ,2021-03-04,2023-01-20,0.032972,0.1685,2.7261904761904763,9.969800126843268,2.0,16.250513170089093,20.781564322512484,27.70167649831445,0.1678066865201982,0.2170305342058758,0.2928640962171415,0.0450066666666667,0.22838718330587696,0.17146951482091627,23.9519999999982,20.4083398354813,22.5171334142581,25.204839101508,0.2163290051329722,0.002473440837902313
23,23,22.519,22.426,155,137.19000244140625,JNJ,2020-10-29,2023-01-20,0.032972,0.1002,3.2261904761904763,-2.261694748539867,3.0,15.512663770391065,19.333499811807854,25.37250615318935,0.1570398657856337,0.195988923801842,0.2580188170814753,0.0440809523809524,0.2052976194126619,0.1766005290194084,22.5189999999999,21.2688420671728,23.5023906510229,26.2427359620958,0.21182845817013607,0.0025356506869541277
24,24,24.518,24.65,160,160.41000366210938,JNJ,2022-10-11,2022-11-18,0.023001,0.071,0.1507936507936507,1.0959871491713216,0.0,3.1255803280179606,3.9567556243201913,4.718861802925019,0.1301530820896233,0.164033441914195,0.1951029358569644,0.0358646,0.9918207231473875,0.0029797036628206298,24.4872246522493,4.3808334508014,5.1609899689613,5.85950728801524,0.20549459574776469,0.0024094945584625872
25,25,11.85,21.322,160,155.92999267578125,JNJ,2021-11-30,2023-01-20,0.032963,0.21215,1.6507936507936507,13.875768911699282,1.0,8.119787848468285,12.121895408456394,16.235276025451377,0.1649868552099473,0.2208559928702578,0.2777813033675007,0.0480203904761905,0.19840371608200555,0.178132507537332,11.8499999999999,10.709585740306,12.3707393085001,15.9201951385341,0.2103944051739549,0.0027568131131775636
